a bad workman always blames his tools	À méchant ouvrier, point de bon outil
a bird in the hand is worth two in the bush	Un tiens vaut mieux que deux tu l’auras
a bit	Un brin
a bit like marmite	Qui provoque des réactions très contrastée
a broken clock is right twice a day	Même une horloge arrêtée donne l’heure jus; Quelqu’un qui répète constamment la
a camel is a horse designed by a committee	Expression critique des comités — ou par a
a camel is a horse designed by committee	Expression critique des comités — ou par a
a cappella	A cappella
a cat may look at a king	Un chien regarde bien un évêque : même un
a closed mouth gathers no feet	Ceux qui ne disent rien n’ont jamais tort
a cold day in hell	Semaine aux quatre jeudis
a couple of	Deux ou trois, quelques
a cup	Bonnet A ; taille standard relativement pe; Femme dont la taille de la poitrine
a dumb priest never got a parish	Qui ne tente rien n’a rien
a few	Quelques. Un certain petit nombre de; Quelques-uns
a fortiori	A fortiori
a friend in need is a friend indeed	C’est dans le besoin que l’on reconnaît se
a game	Meilleur jeu; Mieux qu’on peut faire
a golden key can open any door	Avoir assez d’argent permet tout
a good bargain is a pick-purse	Le bon marché détrousse le passant
a good many	Bon nombre de, beaucoup de
a great many	Un grand nombre de, extrêmement beaucoup d
a handful	Légèrement
a la	À la manière de
a la mode	À la mode; Servi avec de la glace
a little	Un peu, légèrement; Un peu de, une certaine petite quantité de
a little bird told me	Mon petit doigt m’a dit
a long time	Longtemps, longuement
a lot	Beaucoup
a lot of	Beaucoup de
a major	La majeur
a perfect end to a perfect day	Constat que rien ne fonctionne comme prévu
a plot	Première partie d’une histoire
a poor workman blames his tools	À méchant ouvrier, point de bon outil
a posteriori	A posteriori
a pox on	Maudit soit
a priori	Connu avant; A priori
a propos	À-propos
a rolling stone gathers no moss	Pierre qui roule n’amasse pas mousse. Note; Celui qui se change est toujours neu
a stopped clock is right twice a day	Même une horloge arrêtée donne l’heure jus; Quelqu’un qui répète constamment la
a time a dozen	Beaucoup, qui sont légion
a to z	Ensemble de cartes des rues de la plupart; Tous les faits et les éléments liés à
a trifle	Légèrement, un peu
a whole nother	Tout autre … totalement différent
aash-e anar	Soupe iranienne à la grenade
ab initio	Ab initio
abandon hope	Savon
abandon ship	Quitter le navire
abase oneself	S'abaisser; S'humilier
abc method	Méthode des coûts par activité
abdominal fin	Nageoire abdominale
abductor digiti minimi of foot	Muscle abducteur du petit orteil
abductor digiti minimi of hand	Muscle abducteur du petit doigt de la main
abductor hallucis	Muscle abducteur de l’hallux
abductor pollicis brevis	Muscle court abducteur du pouce
abductor pollicis longus	Muscle long abducteur du pouce
abe lincoln	Malodorant, qui sent mauvais; Désagréable, mauvais
abel and cain	Pluie
abelian group	Groupe abélien
abercrombie and fitch	Femme détestable, connasse
abessive case	Abessif
abide by	Se soumettre, acquiescer, s'accorder avec,
abie lincoln	Malodorant, qui sent mauvais; Désagréable, mauvais
ablating cone	Cône d’ablation
ablating nosecone	Cône d’ablation
ablative case	Ablatif
abominable snowman	Abominable homme des neiges
aboriginal american	Amérindien
about face	Demi-tour, volte-face
about to	Sur le point de
above all	Avant tout, par-dessus tout, surtout
abraham lincoln	Malodorant, qui sent mauvais; Désagréable, mauvais
absence of mind	Distraction, inattention
absence seizure	Absence épileptique
absent oneself	S’absenter
absentee ballot	Bulletin de vote déposé par une personne i
absolute complement	Complémentaire
absolute configuration	Configuration absolue
absolute convergence	Convergence absolue
absolute deviation	Déviation absolue
absolute pitch	Oreille absolue
absolute power	Autocratie
absolute rule	Autocratie
absolute ruler	Autocrate
absolute value	Valeur absolue
absolute zero	Zéro absolu
absolutely convergent	Absolument convergente
absolutely summable	Absolument convergente
absolutive case	Absolutif
absorbed dose	Dose absorbée
abstain from	S'abstenir de
abstract algebra	Algèbre générale, branche des mathématique
abstract class	Classe abstraite
abstract data type	Type abstrait
abstract interface	Interface abstraite
abstract method	Méthode abstraite
abstract nonsense	Abstract nonsense, théorie des catégories
abstract noun	Nom abstrait
abstract service	Service abstrait
abundant number	Nombre abondant
abuse of notation	Abus de notation
abyssal ooze	Boue abyssale
acai berry	Açaï
acceleration build-up	Montée en accélération
accelerator pedal	Accélérateur, pédale d’accélération
accelerator-based system	Système hybride
accelerator-driven reactor	Système hybride
accelerator-driven system	Système hybride
accent mark	Accent
acceptable daily intake	Dose journalière admissible
acceptance flight	Vol de réception
acceptance test	Test d’acceptation
access line	Ligne d’accès
access modifier	Modificateur d’accès
access network	Réseau d’accès
access panel	Panel élargi
access prime-time	Avant-soirée
access provider	Fournisseur d’accès
access road	Bretelle (d'autoroute, d'accès)
access specifier	Modificateur d’accès
accident risk	Risque d’accident
accidentally on purpose	Délibérément, bien qu’apparemment accident
accommodate oneself	S'adapter, s'ajuster
according as	Comme
according to	D’après, selon, en fonction de
account for	Expliquer, représenter
account planner	Stratège de la diffusion publicitaire
account-based ticketing	Compte de mobilité
account-trade marketing	Mercatique par grands comptes
accounting rate	Tarif de répartition
accretionary wedge	Prisme d’accrétion
accumulation point	Point d’accumulation; Point au-delà duquel les orbites périodiqu
accusative case	Accusatif
accustom oneself	S’accoutumer
ace boon coon	Ami proche
ace of clubs	As de trèfle
ace of diamonds	As de carreau
ace of hearts	As de cœur
ace of spades	As de pique
aceramarca gracile mouse	Petit opossum-souris de Bolivie (Gracilina
aceramarca mouse opossum	Petit opossum-souris de Bolivie (Gracilina
acetic acid	(nom UICPA) Acide acétique (acide éthanoïq
acetic acid sec-butyl ester	Acétate de sec-butyle, éthanoate de sec-bu
acetic acid tert-butyl ester	Acétate de tert-butyle
acetylsalicylic acid	acide acétylsalicylique, aspirine
ache for	Désirer ardemment
achilles heel	Talon d’Achille
achilles tendon	Tendon d’Achille
acid indigestion	Pyrosis, brûlures d’estomac
acid mine drainage	Drainage minier acide
acid of milk	Synonyme de lactic acid
acid plagioclase	, synonyme d’albite
acid rain	Pluie acide
acid test	Épreuve par le feu, évaluation rigoureuse
acoustic reflex	Réflexe stapédien
acquis communautaire	Acquis communautaire
acre antshrike	Batara d’Acre
across from	Contre, en face de
across the board	Général
acrylic acid	acide acrylique
acrylonitrile butadiene styrene	Acrylonitrile butadiène styrène
act for	Agir pour, agir au nom de
act of god	Force majeure ; Évènement imprévisible tel
act of grace	Amnistie
act on	Agir selon, respecter, suivre
act out	Déborder (comme dans débordement), passer
act upon	Agir selon, respecter, suivre
actinium c	Actinium C
activated carbon	Charbon actif, charbon activé
activated charcoal	Charbon actif, charbon activé
activated coal	Charbon actif, charbon activé
activator protein	Activateur
active air defence	Défense aérienne active
active air defense	Défense aérienne active
active constituent	Principe actif d’origine végétale
active cyber defence	Locution notamment utilisé par le Groupe d
active debris removal	Retrait sélectif de débris
active galaxy	Galaxie active
active ingredient	Principe actif
active lane keeping assist	Suivi de voie automatique
active optics	Optique adaptative
active patient	Patient actif
active pharmaceutical ingredient	Principe actif
active principle	Principe actif d’origine végétale
active rfid tag	Radio-identifiant actif
active suspension system	Suspension adaptative
active system	Système actif
active tag	Radio-identifiant actif
active voice	Voix active
activity-based costing	Méthode des coûts par activité
activity-based management	Management par activité
actual parameter	Paramètre effectif
acute accent	accent aigu
acute angle	Angle aigu
acute flaccid myelitis	Myélite flasque aiguë, paralysie flasque a
acute triangle	Triangle acutangle
acute-angled triangle	Triangle acutangle
ad blocker	Bloqueur de publicités
ad feminam	Ad feminam
ad hoc	Ad hoc
ad hoc hypothesis	Hypothèse ad hoc. Hypothèse avancée pour e
ad hominem	Ad hominem; Argument ad hominem
ad infinitum	Ad infinitum, à l'infini
ad lib	Ad libitum, à discrétion, à volonté
ad nauseam	Indique que l’on fait quelque chose de faç
ad valorem	Ad valorem
ad valorem duty	Ad valorem
adam and eve	Croire; Variation orthographique de Adam and Eve
adam ants	Pantalon
adapt oneself	S’adapter, s’ajuster
adapted nozzle	Tuyère adaptée
adaptive cruise control	Régulateur de vitesse et d’espacement
adaptive learning	Apprentissage adaptatif
adaptive optics	Optique adaptative
adaptive radiation	Radiation évolutive
adaptor protein	Protéine adaptatrice
add fuel to fire	Mettre de l’huile sur le feu, jeter de l’h
add fuel to the fire	Mettre de l’huile sur le feu, jeter de l’h
add up	Calculer, compter; Additionner
additional heating	Chauffage additionnel
additional tankering	Suremport
additive group	Groupe additif
additive manufacturing	Fabrication additive
address bar	Barre d’adresse
address book	Carnet d’adresses
address me	Utilisé en réaction à quelque chose d’évid
